Hora de comienzo,Duración,Tipo,ID,FrecuenciaMHz,Ubicación de inicio,Última posición,Sensor,lat_inicio,lon_inicio,azimut_inicio,distancia_inicio_m,lat_ultima,lon_ultima,azimut_ultima,distancia_ultima_m,fecha,hora,repeticiones_id,id_repetido,mapeable
16-09-2025 12:09,0:00:29,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2414,"-70.66043, -33.46329 | 188°, 267m","-70.66043, -33.46329 | 188°, 267m",100,-33.46329,-70.66043,188.0,267.0,-33.46329,-70.66043,188.0,267.0,2025-09-16,12:09,12,SI,SI
16-09-2025 12:07,0:00:30,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2444,"-70.66021, -33.46329 | 184°, 265m","-70.66021, -33.46329 | 184°, 265m",100,-33.46329,-70.66021,184.0,265.0,-33.46329,-70.66021,184.0,265.0,2025-09-16,12:07,12,SI,SI
16-09-2025 12:01,0:01:37,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2414,"-70.66021, -33.46329 | 171°, 255m","-70.66021, -33.46329 | 171°, 255m",100,-33.46329,-70.66021,171.0,255.0,-33.46329,-70.66021,171.0,255.0,2025-09-16,12:01,12,SI,SI
16-09-2025 11:59,0:01:07,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2444,"-70.66020, -33.46329 | 169°, 191m","-70.66029, -33.46329 | 172°, 221m",100,-33.46329,-70.6602,169.0,191.0,-33.46329,-70.66029,172.0,221.0,2025-09-16,11:59,12,SI,SI
16-09-2025 11:53,0:00:33,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2444,,,100,,,,,,,,,2025-09-16,11:53,12,SI,NO
16-09-2025 11:40,0:06:12,DJI MavicPro,08RDE370010096_DJI MavicPro,2444,"-70.66045, -33.46305 | 357°, 23m","-70.66045, -33.46305 | 157°, 36m",100,-33.46305,-70.66045,357.0,23.0,-33.46305,-70.66045,157.0,36.0,2025-09-16,11:40,5,SI,SI
16-09-2025 11:38,0:00:29,DJI MavicPro,08RDE370010096_DJI MavicPro,2444,,,100,,,,,,,,,2025-09-16,11:38,5,SI,NO
16-09-2025 11:36,0:00:29,AUTEL EVO_V1,4268559886_AUTEL EVO_V1,2472,,,100,,,,,,,,,2025-09-16,11:36,6,SI,NO
16-09-2025 11:18,0:00:30,DJI M30,1581F5BKD22C200CV4MS_DJI M30,5776,"-70.65939, -33.46364 | 341°, 215m","-70.65939, -33.46364 | 341°, 215m",100,-33.46364,-70.65939,341.0,215.0,-33.46364,-70.65939,341.0,215.0,2025-09-16,11:18,16,SI,SI
16-09-2025 11:09,0:09:12,DJI M30,1581F5BKD22C200CV4MS_DJI M30,5776,"-70.66095, -33.46194 | 348°, 205m","-70.66018, -33.46406 | 330°, 257m",100,-33.46194,-70.66095,348.0,205.0,-33.46406,-70.66018,330.0,257.0,2025-09-16,11:09,16,SI,SI
16-09-2025 11:11,0:07:45,DJI Mavic3,1581F45TB21BM2AE08A7_DJI Mavic3,2414,"-70.65824, -33.46564 | 150°, 443m","-70.65806, -33.46567 | 131°, 59m",100,-33.46564,-70.65824,150.0,443.0,-33.46567,-70.65806,131.0,59.0,2025-09-16,11:11,1,NO,SI
16-09-2025 11:05,0:03:53,DJI Mavic(O4),60601f08f533_DJI Mavic(O4),2459,,,100,,,,,,,,,2025-09-16,11:05,1,NO,NO
16-09-2025 10:33,0:23:47,DJI Mavic(O4),60601f08a534_DJI Mavic(O4),5756,,,100,,,,,,,,,2025-09-16,10:33,1,NO,NO
16-09-2025 10:32,0:06:57,DJI Mavic(O4),60601f08fa07_DJI Mavic(O4),2414,,,100,,,,,,,,,2025-09-16,10:32,1,NO,NO
16-09-2025 10:23,0:01:13,DJI MavicPro,08RDE370010096_DJI MavicPro,2429,,,100,,,,,,,,,2025-09-16,10:23,5,SI,NO
16-09-2025 9:56,0:00:29,AUTEL EVO_V1,4268559886_AUTEL EVO_V1,2477,,,100,,,,,,,,,2025-09-16,09:56,6,SI,NO
16-09-2025 9:49,0:01:02,DJI Mavic(O4),60601f08140a_DJI Mavic(O4),5756,,,100,,,,,,,,,2025-09-16,09:49,1,NO,NO
16-09-2025 9:48,0:01:53,DJI Mavic2Enterprise,298CH5LR0A0724_DJI Mavic2Enterprise,5776,"-70.66090, -33.46194 | 55°, 5m","-70.66090, -33.46194 | 55°, 5m",100,-33.46194,-70.6609,55.0,5.0,-33.46194,-70.6609,55.0,5.0,2025-09-16,09:48,2,SI,SI
16-09-2025 9:45,0:02:24,DJI Mavic2Enterprise,298CH5LR0A0724_DJI Mavic2Enterprise,5776,"-70.66093, -33.46197 | 117°, 1m","-70.66093, -33.46197 | 117°, 1m",100,-33.46197,-70.66093,117.0,1.0,-33.46197,-70.66093,117.0,1.0,2025-09-16,09:45,2,SI,SI
16-09-2025 9:44,0:01:35,DJI Mavic(O4),60601f082a9c_DJI Mavic(O4),2459,,,100,,,,,,,,,2025-09-16,09:44,1,NO,NO
16-09-2025 9:40,0:00:29,AUTEL EVO_V1,4268559886_AUTEL EVO_V1,2472,,,100,,,,,,,,,2025-09-16,09:40,6,SI,NO
12-09-2025 11:12,0:01:27,DJI M300RTK,1ZNDH8500BE96U_DJI M300RTK,5756,"-70.65228, -33.45637 | 37°, 1239m","-70.65309, -33.44787 | 19°, 2046m",100,-33.45637,-70.65228,37.0,1239.0,-33.44787,-70.65309,19.0,2046.0,2025-09-12,11:12,9,SI,SI
12-09-2025 11:03,0:01:14,DJI M300RTK,1ZNBJ9K00C005U_DJI M300RTK,2459,"-70.65962, -33.43531 | 1°, 3269m","-70.66037, -33.43372 | 0°, 3497m",100,-33.43531,-70.65962,1.0,3269.0,-33.43372,-70.66037,0.0,3497.0,2025-09-12,11:03,7,SI,SI
12-09-2025 11:00,0:11:01,DJI M300RTK,1ZNDH8500BE96U_DJI M300RTK,5816,"-70.65075, -33.46712 | 113°, 977m","-70.65077, -33.46696 | 101°, 919m",100,-33.46712,-70.65075,113.0,977.0,-33.46696,-70.65077,101.0,919.0,2025-09-12,11:00,9,SI,SI
12-09-2025 11:01,0:01:26,DJI M300RTK,1ZNBJ9K00C005U_DJI M300RTK,2429,"-70.65985, -33.43477 | 0°, 3150m","-70.65985, -33.43477 | 0°, 3225m",100,-33.43477,-70.65985,0.0,3150.0,-33.43477,-70.65985,0.0,3225.0,2025-09-12,11:01,7,SI,SI
12-09-2025 10:59,0:00:29,DJI M300RTK,1ZNDH8500BE96U_DJI M300RTK,5816,"-70.65075, -33.46712 | 121°, 1069m","-70.65075, -33.46712 | 121°, 1069m",100,-33.46712,-70.65075,121.0,1069.0,-33.46712,-70.65075,121.0,1069.0,2025-09-12,10:59,9,SI,SI
12-09-2025 10:56,0:01:42,DJI M300RTK,1ZNDH8500BE96U_DJI M300RTK,2429,"-70.65129, -33.46573 | 115°, 948m","-70.65080, -33.46717 | 122°, 1066m",100,-33.46573,-70.65129,115.0,948.0,-33.46717,-70.6508,122.0,1066.0,2025-09-12,10:56,9,SI,SI
12-09-2025 10:56,0:01:04,DJI M300RTK,1ZNBJ9K00C005U_DJI M300RTK,2429,"-70.66012, -33.44679 | 1°, 1705m","-70.65997, -33.44340 | 1°, 2087m",100,-33.44679,-70.66012,1.0,1705.0,-33.4434,-70.65997,1.0,2087.0,2025-09-12,10:56,7,SI,SI
12-09-2025 10:55,0:01:12,AUTEL EVO_V1,4268559886_AUTEL EVO_V1,2472,,,100,,,,,,,,,2025-09-12,10:55,6,SI,NO
12-09-2025 10:54,0:00:29,DJI M300RTK,1ZNDH8500BE96U_DJI M300RTK,2414,"-70.65096, -33.46524 | 111°, 956m","-70.65096, -33.46524 | 111°, 956m",100,-33.46524,-70.65096,111.0,956.0,-33.46524,-70.65096,111.0,956.0,2025-09-12,10:54,9,SI,SI
12-09-2025 10:53,0:00:47,AUTEL EVO_V1,4268559886_AUTEL EVO_V1,2477,,,100,,,,,,,,,2025-09-12,10:53,6,SI,NO
12-09-2025 10:39,0:01:26,DJI M300RTK,1ZNBJ9K00C005U_DJI M300RTK,2414,"-70.65296, -33.44500 | 20°, 2043m","-70.65320, -33.44509 | 19°, 1999m",100,-33.445,-70.65296,20.0,2043.0,-33.44509,-70.6532,19.0,1999.0,2025-09-12,10:39,7,SI,SI
12-09-2025 10:37,0:01:01,DJI M300RTK,1ZNBJ9K00C005U_DJI M300RTK,5816,"-70.64821, -33.46554 | 107°, 1196m","-70.64913, -33.45948 | 73°, 1097m",100,-33.46554,-70.64821,107.0,1196.0,-33.45948,-70.64913,73.0,1097.0,2025-09-12,10:37,7,SI,SI
12-09-2025 10:32,0:00:29,DJI M300RTK,1ZNBJ9K00C005U_DJI M300RTK,5756,"-70.64714, -33.46342 | 100°, 1270m","-70.64714, -33.46342 | 100°, 1270m",100,-33.46342,-70.64714,100.0,1270.0,-33.46342,-70.64714,100.0,1270.0,2025-09-12,10:32,7,SI,SI
12-09-2025 10:29,0:00:30,DJI M300RTK,1ZNBJ9K00C005U_DJI M300RTK,5776,"-70.65204, -33.44781 | 27°, 1714m","-70.65204, -33.44781 | 27°, 1714m",100,-33.44781,-70.65204,27.0,1714.0,-33.44781,-70.65204,27.0,1714.0,2025-09-12,10:29,7,SI,SI
12-09-2025 9:54,0:00:30,DJI M300RTK,1ZNDH8500BE96U_DJI M300RTK,5816,"-70.65210, -33.44156 | 18°, 2454m","-70.65210, -33.44156 | 18°, 2454m",100,-33.44156,-70.6521,18.0,2454.0,-33.44156,-70.6521,18.0,2454.0,2025-09-12,09:54,9,SI,SI
12-09-2025 9:51,0:01:23,DJI M300RTK,1ZNDH8500BE96U_DJI M300RTK,5776,"-70.65191, -33.44453 | 20°, 2216m","-70.65191, -33.44453 | 20°, 2215m",100,-33.44453,-70.65191,20.0,2216.0,-33.44453,-70.65191,20.0,2215.0,2025-09-12,09:51,9,SI,SI
12-09-2025 9:43,0:00:29,AUTEL EVO_V1,4268559886_AUTEL EVO_V1,2477,,,100,,,,,,,,,2025-09-12,09:43,6,SI,NO
12-08-2025 22:29,0:04:00,Wingtra WingtraOneGenII,174446103_Wingtra WingtraOneGenII,2437,,,100,,,,,,,,,2025-08-12,22:29,1,NO,NO
